WKT,ID,Color,Bateria_Li,Res_NumPla
"MULTILINESTRING Z ((440095.4057 4476066.2427 0,440130.489 4476081.7427 0))",2317675,Azul,Línea,8
"MULTILINESTRING Z ((442707.2537 4471912.751 0,442702.6677 4471918.1231 0,442699.6541 4471920.7437 0,442695.9853 4471921.5298 0,442691.6614 4471921.1367 0,442688.3857 4471919.5644 0,442665.0629 4471899.2552 0,442620.6447 4471861.6504 0,442595.1089 4471840.1765 0))",2317676,Azul,Línea,30
"MULTILINESTRING Z ((440015.7357 4476052.2748 0,440016.5543 4476063.3717 0,440019.5559 4476066.5553 0,440017.9187 4476069.1021 0,440021.1022 4476071.7399 0))",2317677,Azul,Batería,9
"MULTILINESTRING Z ((442744.5091 4471868.4201 0,442711.4029 4471907.903 0))",2317680,Azul,Línea,11
"MULTILINESTRING Z ((442711.2282 4471786.4844 0,442739.0933 4471809.8073 0))",2317686,Azul,Línea,7
"MULTILINESTRING Z ((440184.1527 4475919.5484 0,440183.4194 4475909.5255 0))",2317687,Azul,Línea,2
"MULTILINESTRING Z ((442667.7271 4471749.6221 0,442678.9955 4471759.3181 0))",2317688,Azul,Línea,3
"MULTILINESTRING Z ((439990.913 4475881.9716 0,439980.9244 4475773.345 0))",2317693,Azul,Línea,21
"MULTILINESTRING Z ((440004.5098 4475767.4262 0,440017.871 4475766.0629 0))",2317697,Azul,Línea,2
"MULTILINESTRING Z ((441704.9057 4472580.7245 0,441595.7807 4472710.9745 0))",2317698,Azul,Línea,39
"MULTILINESTRING Z ((439986.1079 4475764.1887 0,439982.2486 4475764.5671 0,439979.9785 4475765.3238 0,439978.1624 4475766.5345 0,439976.2706 4475768.8047 0,439975.8166 4475770.5451 0,439975.8922 4475772.6639 0))",2317699,Azul,Línea,3
"MULTILINESTRING Z ((441719.1557 4472563.3495 0,441708.7807 4472575.9745 0))",2317700,Azul,Línea,3
"MULTILINESTRING Z ((439978.9948 4475798.8842 0,439977.5192 4475780.0419 0))",2317701,Azul,Línea,3
"MULTILINESTRING Z ((441942.3223 4472472.8495 0,441906.239 4472497.4329 0,441870.1557 4472522.2662 0,441832.3223 4472547.9329 0,441828.489 4472550.3495 0,441821.9057 4472554.8495 0,441818.6557 4472556.5995 0,441783.489 4472572.5995 0,441770.0723 4472578.4329 0,441765.8223 4472579.1829 0,441760.9057 4472579.3495 0,441755.239 4472578.4329 0,441747.4057 4472574.5995 0))",2317702,Azul,Línea,43
"MULTILINESTRING Z ((439986.8268 4475882.5391 0,439983.7621 4475847.8058 0))",2317703,Azul,Línea,7
"MULTILINESTRING Z ((442545.1504 4471809.7167 0,442560.535 4471791.0978 0))",2317708,Azul,Línea,5
